LDS d,k;	2;	1001 000d dddd 0000;	kkkk kkkk kkkk kkkk
LPM;		1;	1001 0101 1100 1000
LPM d;		1;	1001 000d dddd 0100
LPM+ d;		1;	1001 000d dddd 0101
LSL d;		1;	0000 11dd dddd dddd
LSR d;		1;	1001 010d dddd 0110
MOV d,r;	1;	0010 11rd dddd rrrr
MOVW d,r;	1;	0000 0001 dddd rrrr
MUL d,r;	1;	1001 11rd dddd rrrr
MULS d,r;	1;	0000 0010 dddd rrrr
MULSU d,r;	1;	0000 0011 0ddd 0rrr
NEG d;		1;	1001 010d dddd 0001
NOP;		1;	0000 0000 0000 0000
OR d,r;		1;	0010 10rd dddd rrrr
ORI d,k;	1;	0110 kkkk dddd kkkk
OUT a,r;	1;	1011 1aar rrrr aaaa
POP d;		1;	1001 000d dddd 1111
PUSH d;		1;	1001 001d dddd 1111
RCALL k;	1;	1101 kkkk kkkk kkkk
RET;		1;	1001 0101 0000 1000
RETI;		1;	1001 0101 0001 1000
RJMP k;		1;	1100 kkkk kkkk kkkk
ROL d;		1;	0001 11dd dddd dddd
ROR d;		1;	1001 010d dddd 0111
SBC d,r;	1;	0000 10rd dddd rrrr
SBCI d,k;	1;	0100 kkkk dddd kkkk
SBI a,b;	1;	1001 1010 aaaa abbb
SBIC a,b;	1;	1001 1001 aaaa abbb
SBIS a,b;	1;	1001 1011 aaaa abbb
SBIW d,k;	1;	1001 0111 kkdd kkkk
SBR d,k;	1;	0110 kkkk dddd kkkk
SBRC r,b;	1;	1111 110r rrrr 0bbb
SBRS r,b;	1;	1111 111r rrrr 0bbb
SEC;		1;	1001 0100 0000 1000
SEH;		1;	1001 0100 0101 1000
SEI;		1;	1001 0100 0111 1000
SEN;		1;	1001 0100 0010 1000
SER d;		1;	1110 1111 dddd 1111
SES;		1;	1001 0100 0100 1000
SET;		1;	1001 0100 0110 1000
SEV;		1;	1001 0100 0011 1000
SEZ;		1;	1001 0100 0001 1000
SLEEP;		1;	1001 0101 1000 1000
SPM;		1;	1001 0101 1110 1000
ST d,r;		1;	100d 001r rrrr dddd
STS k,d;	2;	1001 001d dddd 0000;	kkkk kkkk kkkk kkkk
SUB d,r;	1;	0001 10rd dddd rrrr
SUBI d,k;	1;	0101 kkkk dddd kkkk
SWAP d;		1;	1001 010d dddd 0010
TST d;		1;	0010 00dd dddd dddd
WDR;		1;	1001 0101 1010 1000
